day,p5,p25,p50,p75,p95
306,17487.39466488438,20120.840581893368,21982.546015842796,23765.144532963623,26482.077870184796
307,17512.346486309452,20148.471848501962,22030.241960379863,23810.751935029,26509.911705147446
308,17549.690263641092,20169.84046201704,22061.097206274695,23837.753013684218,26556.75172477313
309,17571.034093858638,20214.956753832746,22094.500780446833,23898.893059712173,26571.236330632
310,17623.675898518206,20238.482455294703,22119.707268426035,23944.51454957632,26649.498601698193
311,17672.80372849324,20273.51137653667,22165.35564315262,23987.693774058578,26693.319465050754
312,17672.602609726204,20316.20973300933,22208.910560593118,24025.69700490456,26760.103112376768
313,17710.72721386741,20335.226202573966,22247.304658849855,24066.76765837073,26807.86811347297
314,17718.50912018464,20366.556059658422,22271.59417533937,24127.525139354257,26897.81835585163
315,17733.098697372883,20402.479375092254,22308.028330091933,24164.322776320325,26933.696562579727
316,17754.71809061992,20445.73458488204,22361.27630283349,24196.08146189594,26963.69622000608
317,17800.78126976674,20474.080590645935,22405.712982262463,24234.210794448318,27021.587932006965
318,17820.822694258615,20507.687297390985,22448.013307475892,24276.08648015801,27069.492719193575
319,17822.17428052394,20547.902346518516,22481.816513055306,24324.735297239167,27084.037624093708
320,17866.52794211468,20581.650625154645,22516.369901231254,24358.60244974173,27127.585544489804
321,17934.277539721646,20614.55223053493,22546.596771897115,24403.703380581366,27184.987643654866
322,17967.49486618074,20670.262970143485,22585.76346146303,24428.954002628307,27220.979907403063
323,17990.722566210316,20709.554071472572,22626.744116862927,24462.3352165776,27266.797182837145
324,18048.19219821785,20739.273031728637,22667.17746883553,24504.976276918514,27350.758372895034
325,18063.522567933593,20776.36158093018,22714.914517680074,24545.31006169064,27388.49542445134
326,18086.04234457334,20819.933195616366,22760.198105284177,24593.969354243098,27415.943616651726
327,18122.13182854915,20851.497459904225,22786.670732980492,24630.39370000647,27490.317790564874
328,18154.67128502564,20892.1737510928,22833.376306185834,24668.859320298874,27512.07248772306
329,18171.684416422428,20941.24828741479,22858.779314858453,24735.479049208254,27586.840336097335
